Price,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
6/20/2014,4541.339844,4574.919922,4541.339844,4555.509766,188834000
6/23/2014,4515.569824,4540.52002,4494.359863,4540.52002,113645600
6/24/2014,4518.339844,4536.109863,4513.100098,4529.540039,95139000
6/25/2014,4460.600098,4496.669922,4448.27002,4494.359863,124298200
6/26/2014,4439.629883,4473.430176,4412.180176,4470.779785,105956700
6/27/2014,4436.990234,4461.470215,4426.589844,4447.169922,91027500
6/30/2014,4422.839844,4457.569824,4407.180176,4443.029785,101095200
7/1/2014,4461.120117,4462.430176,4430.259766,4438.77002,104764000
7/2/2014,4444.720215,4467.790039,4436.109863,4460.620117,131935500
7/3/2014,4489.879883,4490.720215,4437.359863,4446.700195,110971500
7/4/2014,4468.97998,4489.810059,4468.97998,4482.220215,65868000
7/7/2014,4405.759766,4463.060059,4404.240234,4453.759766,86253100
7/8/2014,4342.529785,4423.779785,4342.5,4418.169922,108090300
7/9/2014,4359.839844,4362.560059,4329.140137,4353.529785,100385500
7/10/2014,4301.259766,4357.77002,4277.580078,4357.77002,133558400
7/11/2014,4316.5,4330.47998,4299.370117,4309.649902,96055500
7/14/2014,4350.040039,4355.759766,4324.060059,4327.660156,78369700
7/15/2014,4305.310059,4352.580078,4303.470215,4344.5,101075800
7/16/2014,4369.060059,4374.220215,4322.959961,4322.959961,106369100
7/17/2014,4316.120117,4362.279785,4311.120117,4345.97998,102510700
7/18/2014,4335.310059,4335.310059,4284.419922,4296.839844,111179000
7/21/2014,4304.740234,4336.790039,4295.359863,4334.620117,78393400
7/22/2014,4369.52002,4373.700195,4315.660156,4323.709961,99480800
7/23/2014,4376.319824,4396.700195,4356.299805,4360.200195,84995400
7/24/2014,4410.649902,4415.290039,4347.759766,4376.689941,109270400
7/25/2014,4330.549805,4395.379883,4317.490234,4390.850098,96448300
7/28/2014,4344.77002,4358.470215,4308.259766,4352.5,80021000
7/29/2014,4365.580078,4389.759766,4332.299805,4349.430176,85744300
7/30/2014,4312.299805,4378.700195,4303.660156,4360.180176,117320300
7/31/2014,4246.140137,4337.740234,4238.27002,4335.200195,222485200
8/1/2014,4202.779785,4243.069824,4182.02002,4236.350098,224455200
8/4/2014,4217.220215,4240.120117,4204.660156,4222.779785,127194400
8/5/2014,4232.879883,4252.680176,4217.620117,4240.569824,132162200
8/6/2014,4207.140137,4222.759766,4169.799805,4207.200195,137276800
8/7/2014,4149.830078,4209.609863,4146.27002,4209.609863,135520200
8/8/2014,4147.810059,4165.259766,4109.310059,4114.089844,124099100
8/11/2014,4197.700195,4206.27002,4165.350098,4182.75,97124600
8/12/2014,4162.160156,4193.149902,4150.899902,4188.049805,93578700
8/13/2014,4194.790039,4204.379883,4178.790039,4187.459961,96498300
8/14/2014,4205.430176,4217.390137,4166.180176,4176.930176,88592900
8/15/2014,4174.359863,4256.339844,4168.080078,4216.899902,110744200
8/18/2014,4230.649902,4241.859863,4211.379883,4227.879883,73943500
8/19/2014,4254.450195,4258.830078,4235.279785,4243.830078,65903800
8/20/2014,4240.790039,4254.839844,4216.959961,4250.279785,70065700
8/21/2014,4292.930176,4292.930176,4231.660156,4247.319824,89019500
8/22/2014,4252.799805,4291.169922,4233.149902,4291.060059,88085100
8/25/2014,4342.109863,4342.109863,4286.609863,4299.5,66624700
8/26/2014,4393.410156,4395.939941,4333.120117,4336.290039,102347700
8/27/2014,4395.259766,4401.52002,4379.799805,4384.529785,88620000
8/28/2014,4366.040039,4393.580078,4352.930176,4385.709961,110098700
8/29/2014,4381.040039,4393.600098,4337.129883,4380.609863,102400900
9/1/2014,4379.72998,4391.080078,4358.259766,4383.620117,71668900
9/2/2014,4378.330078,4403.220215,4373.319824,4389.399902,88312100
9/3/2014,4421.870117,4443.529785,4394.069824,4394.660156,119605200
9/4/2014,4494.939941,4509.580078,4401.25,4409.160156,152520000
9/5/2014,4486.490234,4498.160156,4470.200195,4492.910156,105969500
9/8/2014,4474.930176,4489.02002,4463.790039,4484.399902,84582900
9/9/2014,4452.370117,4482.910156,4446.040039,4465.100098,94413900
9/10/2014,4450.790039,4459.779785,4434.930176,4442.689941,80385100
9/11/2014,4440.899902,4466.149902,4411.069824,4463,90346100
9/12/2014,4441.700195,4452.310059,4419.439941,4449.680176,77012200
9/15/2014,4428.629883,4440.919922,4418.72998,4425.629883,77011900
9/16/2014,4409.149902,4426.149902,4391.080078,4426.149902,86246100
9/17/2014,4431.410156,4444.830078,4421.939941,4432.649902,103391900
9/18/2014,4464.700195,4470.47998,4435.660156,4440.330078,104375600
9/19/2014,4461.220215,4492.390137,4451.910156,4491.540039,158927900
9/22/2014,4442.549805,4464.310059,4434.580078,4446.910156,86943400
9/23/2014,4359.350098,4430.779785,4351.299805,4430.299805,110550700
9/24/2014,4413.720215,4416.629883,4347.049805,4364,98862200
9/25/2014,4355.279785,4430.5,4346.709961,4413.640137,118481600
9/26/2014,4394.75,4411.990234,4340.629883,4361.370117,96004000
9/29/2014,4358.069824,4401.069824,4334.009766,4389.830078,84697000
9/30/2014,4416.240234,4435.069824,4369.259766,4375.379883,126214700
10/1/2014,4365.27002,4427.759766,4354.140137,4400.609863,150171900
10/2/2014,4242.669922,4371.060059,4242.669922,4361.830078,168748300
10/3/2014,4281.740234,4297.410156,4260.629883,4280.220215,105832200
10/6/2014,4286.52002,4319.310059,4279.490234,4317.919922,103757200
10/7/2014,4209.140137,4277.410156,4208.660156,4277.410156,140455300
10/8/2014,4168.120117,4213.109863,4153.680176,4198.02002,145706200
10/9/2014,4141.450195,4222.97998,4123.180176,4222.97998,191315500
10/10/2014,4073.709961,4125.129883,4065.5,4114.52002,213912600
10/13/2014,4078.699951,4104,4030.570068,4033.73999,136272000
10/14/2014,4088.25,4097.899902,4012.820068,4053.080078,157157300
10/15/2014,3939.719971,4096.580078,3933.159912,4090.47998,225462800
10/16/2014,3918.620117,3987.139893,3789.110107,3968.409912,304167300
10/17/2014,4033.179932,4040.699951,3916.800049,3934.189941,230358700
10/20/2014,3991.23999,4030.149902,3962.060059,4023.76001,143988900
10/21/2014,4081.23999,4081.72998,3965.459961,3968.790039,159668100
10/22/2014,4105.089844,4110.47998,4064.080078,4090.939941,142186700
10/23/2014,4157.680176,4166.459961,4047.320068,4086.02002,162948200
10/24/2014,4128.899902,4153.069824,4119.27002,4137.919922,116217700
10/27/2014,4096.740234,4171.529785,4065.929932,4170.839844,126568700
10/28/2014,4112.669922,4127.870117,4098.740234,4107.569824,134538100
10/29/2014,4110.640137,4134.830078,4106.140137,4126.970215,135705400
10/30/2014,4141.240234,4151.109863,4051.860107,4138.080078,248771100
10/31/2014,4233.089844,4246.930176,4181.959961,4213.470215,182457000
11/3/2014,4194.029785,4238.459961,4185.410156,4225.810059,123590300
11/4/2014,4130.189941,4208.52002,4118.5,4177.200195,142148700
11/5/2014,4208.419922,4214.350098,4145.609863,4163.509766,126747900
11/6/2014,4227.680176,4275.299805,4180.319824,4193.47998,163811600
11/7/2014,4189.890137,4239.560059,4161.149902,4238.870117,144094600
11/10/2014,4222.819824,4224.830078,4174.97998,4184.180176,123847500
11/11/2014,4244.100098,4252.919922,4223.680176,4227.120117,99662200
11/12/2014,4179.879883,4242.620117,4175.290039,4232.339844,122989000
11/13/2014,4187.950195,4220.740234,4153.169922,4203.669922,131579800
11/14/2014,4202.459961,4208.129883,4164.790039,4208.109863,109621000
11/17/2014,4226.100098,4239.109863,4166.399902,4169.609863,95508800
11/18/2014,4262.379883,4267.660156,4223.319824,4230.410156,101914700
11/19/2014,4266.189941,4289.169922,4251.040039,4263.330078,83273700
11/20/2014,4234.209961,4264.72998,4201.470215,4264.609863,110207200
11/21/2014,4347.22998,4356.109863,4240.189941,4245.649902,197869900
11/24/2014,4368.439941,4400.339844,4348.830078,4355.970215,117173100
11/25/2014,4382.310059,4403.549805,4361.180176,4369.310059,122591400
11/26/2014,4373.419922,4399.410156,4364.589844,4382.879883,95096700
11/27/2014,4382.339844,4396.200195,4374.580078,4375.419922,95289500
11/28/2014,4390.180176,4390.180176,4353.600098,4378.319824,104492600
